Open,High,Low,Vol,Change,PriceTomorow
"20,769.50","20,867.90","20,231.60",365491,-0.0229,"20,594.40"
"20,086.80","20,981.50","20,062.90",427991,0.0342,"20,292.90"
"19,331.80","20,406.90","19,249.00",371541,0.0389,"20,769.50"
"19,571.20","19,588.60","19,177.20",286941,-0.0122,"20,082.70"
"19,204.80","19,680.90","19,092.50",180631,0.0191,"19,331.50"
"19,162.60","19,249.90","19,116.10",118241,0.0022,"19,571.20"
"19,042.90","19,245.50","18,703.30",294661,0.0063,"19,204.80"
"19,125.10","19,334.50","18,935.60",253201,-0.0042,"19,162.60"
"19,328.20","19,358.60","19,101.20",209281,-0.0106,"19,042.90"
"19,548.40","19,692.90","19,102.80",290071,-0.0113,"19,123.90"
"19,262.20","19,663.50","19,163.60",248401,0.0149,"19,328.20"
"19,068.80","19,411.90","19,066.00",140951,0.0101,"19,548.20"
"19,181.70","19,218.70","19,000.80",123661,-0.0059,"19,261.90"
"19,379.80","19,933.90","19,098.60",400451,-0.0102,"19,068.70"
"19,154.60","19,494.40","18,207.90",455131,0.0117,"19,181.80"
"19,058.50","19,212.60","19,010.60",242181,0.005,"19,379.80"
"19,134.30","19,261.30","18,868.70",288571,-0.0039,"19,154.80"
"19,441.70","19,520.70","19,057.00",243771,-0.0158,"19,059.10"
"19,416.30","19,552.10","19,329.60",127531,0.0013,"19,134.60"
"19,530.20","19,612.20","19,274.70",113501,-0.006,"19,441.00"
"19,962.40","20,051.40","19,352.10",263501,-0.0213,"19,415.00"
"20,157.50","20,436.70","19,873.70",370601,-0.01,"19,531.30"
"20,340.50","20,353.80","19,761.70",352761,-0.009,"19,956.70"
"19,629.70","20,436.10","19,506.40",368171,0.0363,"20,157.50"
"19,057.60","19,676.00","19,001.30",333031,0.0302,"20,340.20"
"19,311.90","19,389.90","18,937.30",222821,-0.0134,"19,628.30"
"19,422.90","19,480.30","19,172.60",173911,-0.0057,"19,052.20"
"19,593.40","20,174.90","19,208.90",490291,-0.0087,"19,311.90"
"19,420.20","19,631.50","18,877.90",449571,0.0094,"19,423.00"
"19,083.40","19,757.80","18,505.30",581191,0.0173,"19,593.00"
"19,228.80","20,361.20","18,850.40",660121,-0.0075,"19,411.00"
"18,803.10","19,304.80","18,695.20",516031,0.0225,"19,081.00"
"18,925.10","19,125.10","18,659.60",209711,-0.0064,"19,225.70"
"19,288.40","19,310.60","18,812.00",258501,-0.0191,"18,803.20"
"19,404.10","19,477.30","18,554.80",431151,-0.0057,"18,925.20"
"18,488.10","19,490.90","18,371.00",448631,0.0495,"19,293.50"
"18,875.10","19,758.40","18,191.80",446851,-0.0203,"19,404.00"
"19,538.90","19,626.30","18,742.60",361181,-0.0341,"18,489.00"
"19,417.40","19,666.60","18,277.80",423431,0.0062,"18,872.40"
"20,113.90","20,113.90","19,347.70",273111,-0.0345,"19,538.90"
"19,802.80","20,178.60","19,761.00",204581,0.0157,"19,418.80"
"19,701.90","19,883.00","19,352.90",315591,0.0051,"20,113.50"
"20,222.30","20,321.40","19,532.30",358421,-0.0258,"19,802.40"
"20,175.50","20,503.70","19,654.20",374221,0.0023,"19,701.70"
"22,395.30","22,702.50","19,909.60",485321,-0.0991,"20,222.50"
"21,836.60","22,465.40","21,581.60",431981,0.0257,"20,175.50"
"21,650.40","21,836.40","21,363.00",297121,0.0085,"22,395.30"
"21,363.80","21,790.60","21,139.90",331121,0.0133,"21,834.90"
"19,318.80","21,545.70","19,294.10",480371,0.106,"21,650.40"
"19,281.50","19,444.70","19,034.50",291431,0.0019,"21,365.20"
"18,786.30","19,445.90","18,548.40",319101,0.0264,"19,317.40"
"19,793.40","20,169.30","18,723.30",402431,-0.0509,"19,281.50"
"19,999.90","20,042.90","19,650.70",238711,-0.0103,"18,786.40"
"19,832.20","20,017.80","19,594.70",158271,0.0085,"19,793.10"
"19,952.80","20,043.80","19,660.70",157851,-0.0061,"19,999.90"
"20,131.60","20,428.20","19,764.70",272221,-0.0086,"19,831.40"
"20,049.90","20,202.70","19,584.40",275081,0.0041,"19,952.70"
"19,793.40","20,469.10","19,793.40",318171,0.0127,"20,126.10"
"20,295.60","20,558.20","19,559.70",308411,-0.0248,"20,043.90"
"19,551.30","20,394.50","19,551.20",248041,0.0381,"19,792.60"
"20,034.20","20,150.80","19,542.90",159601,-0.0241,"20,295.80"
"20,249.90","20,343.60","19,849.80",187341,-0.0107,"19,550.20"
"21,564.20","21,815.30","20,122.40",322161,-0.061,"20,033.90"
"21,365.40","21,801.20","21,324.80",190151,0.0094,"20,249.90"
"21,516.20","21,832.30","21,171.10",202401,-0.0071,"21,565.40"
"21,416.50","21,661.00","20,919.60",228651,0.0047,"21,365.20"
"21,516.80","21,517.40","20,912.10",251831,-0.0047,"21,517.20"
