PriceTomorow,Open,High,Low,Vol.,Change,Date,Price
20569.70,20594.20,21038.10,20561.90,276.54,0.0105,29-Oct-22,
20809.80,20293.00,20744.00,20058.20,318.90,0.0149,28-Oct-22,
20594.40,20769.50,20867.90,20231.60,365.49,-0.0229,27-Oct-22,
20292.90,20086.80,20981.50,20062.90,427.99,0.0342,26-Oct-22,
20769.50,19331.80,20406.90,19249.00,371.54,0.0389,25-Oct-22,
20082.70,19571.20,19588.60,19177.20,286.94,-0.0122,24-Oct-22,
19331.50,19204.80,19680.90,19092.50,180.63,0.0191,23-Oct-22,
19571.20,19162.60,19249.90,19116.10,118.24,0.0022,22-Oct-22,
19204.80,19042.90,19245.50,18703.30,294.66,0.0063,21-Oct-22,
19162.60,19125.10,19334.50,18935.60,253.20,-0.0042,20-Oct-22,
19042.90,19328.20,19358.60,19101.20,209.28,-0.0106,19-Oct-22,
19123.90,19548.40,19692.90,19102.80,290.07,-0.0113,18-Oct-22,
19328.20,19262.20,19663.50,19163.60,248.40,0.0149,17-Oct-22,
19548.20,19068.80,19411.90,19066.00,140.95,0.0101,16-Oct-22,
19261.90,19181.70,19218.70,19000.80,123.66,-0.0059,15-Oct-22,
19068.70,19379.80,19933.90,19098.60,400.45,-0.0102,14-Oct-22,
19181.80,19154.60,19494.40,18207.90,455.13,0.0117,13-Oct-22,
19379.80,19058.50,19212.60,19010.60,242.18,0.0050,12-Oct-22,
19154.80,19134.30,19261.30,18868.70,288.57,-0.0039,11-Oct-22,
19059.10,19441.70,19520.70,19057.00,243.77,-0.0158,10-Oct-22,
19134.60,19416.30,19552.10,19329.60,127.53,0.0013,9-Oct-22,
19441.00,19530.20,19612.20,19274.70,113.50,-0.0060,8-Oct-22,
19415.00,19962.40,20051.40,19352.10,263.50,-0.0213,7-Oct-22,
19531.30,20157.50,20436.70,19873.70,370.60,-0.0100,6-Oct-22,
19956.70,20340.50,20353.80,19761.70,352.76,-0.0090,5-Oct-22,
20157.50,19629.70,20436.10,19506.40,368.17,0.0363,4-Oct-22,
20340.20,19057.60,19676.00,19001.30,333.03,0.0302,3-Oct-22,
19628.30,19311.90,19389.90,18937.30,222.82,-0.0134,2-Oct-22,
19052.20,19422.90,19480.30,19172.60,173.91,-0.0057,1-Oct-22,
19311.90,19593.40,20174.90,19208.90,490.29,-0.0087,30-Sep-22,
19423.00,19420.20,19631.50,18877.90,449.57,0.0094,29-Sep-22,
19593.00,19083.40,19757.80,18505.30,581.19,0.0173,28-Sep-22,
19411.00,19228.80,20361.20,18850.40,660.12,-0.0075,27-Sep-22,
19081.00,18803.10,19304.80,18695.20,516.03,0.0225,26-Sep-22,
19225.70,18925.10,19125.10,18659.60,209.71,-0.0064,25-Sep-22,
18803.20,19288.40,19310.60,18812.00,258.50,-0.0191,24-Sep-22,
18925.20,19404.10,19477.30,18554.80,431.15,-0.0057,23-Sep-22,
19293.50,18488.10,19490.90,18371.00,448.63,0.0495,22-Sep-22,
19404.00,18875.10,19758.40,18191.80,446.85,-0.0203,21-Sep-22,
18489.00,19538.90,19626.30,18742.60,361.18,-0.0341,20-Sep-22,
18872.40,19417.40,19666.60,18277.80,423.43,0.0062,19-Sep-22,
19538.90,20113.90,20113.90,19347.70,273.11,-0.0345,18-Sep-22,
19418.80,19802.80,20178.60,19761.00,204.58,0.0157,17-Sep-22,
20113.50,19701.90,19883.00,19352.90,315.59,0.0051,16-Sep-22,
19802.40,20222.30,20321.40,19532.30,358.42,-0.0258,15-Sep-22,
19701.70,20175.50,20503.70,19654.20,374.22,0.0023,14-Sep-22,
20222.50,22395.30,22702.50,19909.60,485.32,-0.0991,13-Sep-22,
20175.50,21836.60,22465.40,21581.60,431.98,0.0257,12-Sep-22,
22395.30,21650.40,21836.40,21363.00,297.12,0.0085,11-Sep-22,
21834.90,21363.80,21790.60,21139.90,331.12,0.0133,10-Sep-22,
21650.40,19318.80,21545.70,19294.10,480.37,0.1060,9-Sep-22,
21365.20,19281.50,19444.70,19034.50,291.43,0.0019,8-Sep-22,
19317.40,18786.30,19445.90,18548.40,319.10,0.0264,7-Sep-22,
19281.50,19793.40,20169.30,18723.30,402.43,-0.0509,6-Sep-22,
18786.40,19999.90,20042.90,19650.70,238.71,-0.0103,5-Sep-22,
19793.10,19832.20,20017.80,19594.70,158.27,0.0085,4-Sep-22,
19999.90,19952.80,20043.80,19660.70,157.85,-0.0061,3-Sep-22,
19831.40,20131.60,20428.20,19764.70,272.22,-0.0086,2-Sep-22,
19952.70,20049.90,20202.70,19584.40,275.08,0.0041,1-Sep-22,
20126.10,19793.40,20469.10,19793.40,318.17,0.0127,31-Aug-22,
20043.90,20295.60,20558.20,19559.70,308.41,-0.0248,30-Aug-22,
19792.60,19551.30,20394.50,19551.20,248.04,0.0381,29-Aug-22,
20295.80,20034.20,20150.80,19542.90,159.60,-0.0241,28-Aug-22,
19550.20,20249.90,20343.60,19849.80,187.34,-0.0107,27-Aug-22,
20033.90,21564.20,21815.30,20122.40,322.16,-0.0610,26-Aug-22,
20249.90,21365.40,21801.20,21324.80,190.15,0.0094,25-Aug-22,
21565.40,21516.20,21832.30,21171.10,202.40,-0.0071,24-Aug-22,
21365.20,21416.50,21661.00,20919.60,228.65,0.0047,23-Aug-22,
21517.20,21516.80,21517.40,20912.10,251.83,-0.0047,22-Aug-22,
21416.30,21138.90,21692.40,21077.40,177.52,0.0179,21-Aug-22,
21517.20,20830.70,21357.40,20784.80,206.94,0.0148,20-Aug-22,
21138.90,23201.60,23202.30,20807.80,339.47,-0.1022,19-Aug-22,
20831.30,23337.70,23578.00,23131.30,160.97,-0.0058,18-Aug-22,
23203.60,23855.80,24423.50,23191.60,239.53,-0.0217,17-Aug-22,
23338.00,24102.60,24240.80,23693.80,201.70,-0.0102,16-Aug-22,
23856.80,24303.30,25205.70,23784.50,279.28,-0.0083,15-Aug-22,
24101.70,24442.10,24997.30,24172.20,177.25,-0.0057,14-Aug-22,
24302.80,24398.90,24882.90,24318.70,170.59,0.0018,13-Aug-22,
24442.50,23935.30,24440.80,23616.40,194.96,0.0194,12-Aug-22,
24398.70,23963.30,24873.50,23864.00,285.36,-0.0012,11-Aug-22,
23935.30,23150.30,24209.90,22714.70,243.61,0.0353,10-Aug-22,
23962.90,23818.10,23912.00,22886.50,169.62,-0.0281,9-Aug-22,
23146.70,23175.30,24234.10,23160.60,197.94,0.0277,8-Aug-22,
23816.30,22944.20,23387.70,22852.30,99.36,0.0101,7-Aug-22,
23175.30,23308.20,23344.40,22923.60,94.44,-0.0156,6-Aug-22,
22944.20,22613.30,23447.60,22593.50,208.90,0.0308,5-Aug-22,
23308.20,22822.20,23214.50,22438.70,181.19,-0.0091,4-Aug-22,
22612.10,22988.70,23623.70,22698.60,174.66,-0.0073,3-Aug-22,
22820.80,23271.10,23423.30,22670.80,177.30,-0.0121,2-Aug-22,
22988.60,23303.40,23484.40,22863.80,162.33,-0.0014,1-Aug-22,
23271.20,23634.20,24179.30,23236.20,138.84,-0.0140,31-Jul-22,
23303.40,23774.20,24605.30,23521.80,168.72,-0.0059,30-Jul-22,
23634.20,23850.20,24340.00,23451.40,221.66,-0.0032,29-Jul-22,
23774.30,22957.70,24190.50,22611.60,268.32,0.0388,28-Jul-22,
23850.00,21248.00,23027.80,21047.50,242.66,0.0805,27-Jul-22,
22958.30,21301.60,21322.30,20737.30,201.57,-0.0025,26-Jul-22,
21248.70,22582.30,22653.30,21275.40,206.93,-0.0567,25-Jul-22,
21301.90,22449.80,22987.90,22281.30,126.66,0.0054,24-Jul-22,
22582.10,22683.60,22991.00,21971.70,137.42,-0.0095,23-Jul-22,
22460.40,23150.00,23741.40,22524.20,197.54,-0.0206,22-Jul-22,
22675.20,23219.90,23403.80,22360.20,217.08,-0.0027,21-Jul-22,
23153.00,23412.00,24258.00,22944.40,281.31,-0.0083,20-Jul-22,
