Future,Close
20761.1,20810
20809.8,20594.40
20594.4,20292.90
20292.9,20769.50
20769.5,20082.70
20082.7,19331.50
19331.5,19571.20
19571.2,19204.80
19204.8,19162.60
19162.6,19042.90
19042.9,19123.90
19123.9,19328.20
19328.2,19548.20
19548.2,19261.90
19261.9,19068.70
19068.7,19181.80
19181.8,19379.80
19379.8,19154.80
19154.8,19059.10
19059.1,19134.60
19134.6,19441.00
19441,19415.00
19415,19531.30
19531.3,19956.70
19956.7,20157.50
20157.5,20340.20
20340.2,19628.30
19628.3,19052.20
19052.2,19311.90
19311.9,19423.00
19423,19593.00
19593,19411.00
19411,19081.00
19081,19225.70
19225.7,18803.20
18803.2,18925.20
18925.2,19293.50
19293.5,19404.00
19404,18489.00
18489,18872.40
18872.4,19538.90
19538.9,19418.80
19418.8,20113.50
20113.5,19802.40
19802.4,19701.70
19701.7,20222.50
20222.5,20175.50
20175.5,22395.30
22395.3,21834.90
21834.9,21650.40
21650.4,21365.20
21365.2,19317.40
19317.4,19281.50
19281.5,18786.40
18786.4,19793.10
19793.1,19999.90
19999.9,19831.40
19831.4,19952.70
19952.7,20126.10
20126.1,20043.90
20043.9,19792.60
19792.6,20295.80
20295.8,19550.20
19550.2,20033.90
20033.9,20249.90
20249.9,21565.40
21565.4,21365.20
21365.2,21517.20
21517.2,21416.30
21416.3,21517.20
21517.2,21138.90
21138.9,20831.30
20831.3,23203.60
23203.6,23338.00
23338,23856.80
23856.8,24101.70
24101.7,24302.80
24302.8,24442.50
24442.5,24398.70
24398.7,23935.30
23935.3,23962.90
23962.9,23146.70
23146.7,23816.30
23816.3,23175.30
23175.3,22944.20
22944.2,23308.20
23308.2,22612.10
22612.1,22820.80
22820.8,22988.60
22988.6,23271.20
23271.2,23303.40
23303.4,23634.20
23634.2,23774.30
23774.3,23850.00
23850,22958.30
22958.3,21248.70
21248.7,21301.90
21301.9,22582.10
22582.1,22460.40
22460.4,22675.20
22675.2,23153.00
23153,23215.20
23215.2,23410.20
23410.2,22525.80
22525.8,20785.60
20785.6,21209.90
21209.9,20825.10
20825.1,20586.00
20586,20250.00
20250,19330.90
19330.9,19963.20
19963.2,20847.40
20847.4,21587.50
21587.5,21611.20
21611.2,21637.80
21637.8,20561.10
20561.1,20200.60
20200.6,20215.80
20215.8,19309.90
19309.9,19243.20
19243.2,19262.90
19262.9,19926.60
19926.6,20111.30
20111.3,20278.00
20278,20730.20
20730.2,21043.50
21043.5,21489.90
21489.9,21226.90
21226.9,21100.70
21100.7,19965.80
19965.8,20720.40
20720.4,20572.30
20572.3,20577.20
20577.2,18986.50
18986.5,20444.60
20444.6,20386.60
20386.6,22577.90
22577.9,22157.30
22157.3,22448.00
22448,26606.30
26606.3,28403.40
28403.4,29083.30
29083.3,30097.80
30097.8,30201.60
30201.6,31128.80
31128.8,31367.60
31367.6,29913.00
29913,29864.30
29864.3,29700.90
29700.9,30455.50
30455.5,29798.50
29798.5,31793.40
31793.4,31723.30
31723.3,29465.20
29465.2,29027.10
29027.1,28601.20
28601.2,29203.50
29203.5,29540.60
29540.6,29648.70
29648.7,29093.30
29093.3,30286.60
30286.6,29434.60
29434.6,29178.60
29178.6,30305.90
30305.9,28683.70
28683.7,30437.50
30437.5,29849.00
29849,31308.70
31308.7,30080.40
30080.4,29284.40
29284.4,28976.00
28976,29068.20
29068.2,31007.50
31007.5,30095.00
