PM10,1O2,CO,O3,NO2,OutputY
31.13,85.68,0.20,44.60,5.47,1
25.73,83.64,0.28,40.37,4.55,1
20.63,83.49,0.17,29.43,4.08,1
19.34,80.08,0.19,26.76,2.61,1
18.86,80.41,0.10,52.53,3.67,1
11.77,80.97,0.30,69.00,2.87,1
12.02,80.22,0.22,,1.43,1
20.84,80.43,0.30,,4.09,1
23.25,81.88,0.32,,3.62,1
31.21,81.47,0.28,,4.36,1
15.19,79.53,0.12,,2.31,1
10.73,79.21,0.18,,2.68,1
6.28,79.77,0.18,,2.76,1
16.25,79.73,0.12,,3.57,1
31.05,81.08,0.27,,4.18,1
32.14,79.53,0.21,76.68,5.76,1
44.19,79.86,0.23,76.84,8.61,1
34.53,80.85,0.24,69.05,6.05,1
40.11,81.09,0.39,56.61,4.53,1
38.47,82.39,0.23,68.35,4.24,1
30.49,78.16,0.14,81.24,6.33,1
38.42,79.39,0.18,81.45,6.88,1
45.63,79.13,0.17,98.37,6.67,1
52.90,78.11,0.22,94.79,7.37,0
55.60,78.28,0.27,73.18,7.98,1
51.32,77.88,0.11,83.64,5.05,1
51.56,78.92,0.23,78.26,6.41,0
39.74,81.12,0.15,69.56,4.28,1
40.86,79.46,0.19,74.84,4.85,1
55.21,85.60,0.20,73.01,3.12,1
42.05,79.88,0.17,71.50,5.25,1
69.73,79.62,0.36,83.24,6.03,1
96.76,80.79,0.59,83.37,10.28,1
147.10,83.28,0.96,71.69,7.80,1
67.16,79.62,0.36,59.59,6.74,1
125.15,81.44,0.64,80.96,7.00,1
147.00,83.26,0.88,63.98,5.90,0
156.97,84.05,1.13,54.27,7.34,1
172.51,86.35,1.28,51.77,7.83,0
157.60,85.30,1.06,59.85,5.70,0
176.42,84.24,1.26,53.70,5.15,0
351.12,86.79,2.65,25.94,2.07,0
267.25,95.47,1.99,30.20,1.87,0
165.79,85.93,1.03,50.77,6.57,0
112.63,86.32,0.67,46.12,5.82,1
130.74,87.43,0.80,52.57,4.08,0
248.09,87.23,1.45,67.54,7.20,1
296.97,90.15,1.85,68.00,5.86,0
320.19,91.96,2.03,69.84,5.51,0
